ofi_00,ofi_01,ofi_02,ofi_03,ofi_04,ofi_05,ofi_06,ofi_07,ofi_08,ofi_09,integrated_ofi
0,0,0,0,0,0,0,0,0,0,0.0
2,0,0,0,0,0,0,0,0,0,0.05748570135159972
3,0,0,0,0,0,0,0,0,0,0.08622855202739958
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,0,-200,0,0,0,0,0,0,0,-28.256849053406004
0,400,10,0,0,0,0,0,0,0,32.91126041907319
0,0,0,0,0,0,-200,-200,-44,-155,-50.521167810823854
-200,0,0,0,0,0,0,0,0,0,-5.748570135159972
1,8,150,29,25,200,200,44,155,400,116.49412594948092
-200,-1,-8,-150,-29,-25,-200,-200,-44,-155,-89.14671107733118
-3,0,0,0,0,0,0,0,0,0,-0.08622855202739958
1,0,0,0,0,0,0,0,0,0,0.02874285067579986
-1,0,0,0,0,0,0,0,0,0,-0.02874285067579986
-2,0,0,0,0,0,0,0,0,0,-0.05748570135159972
2,139,400,10,28,15,110,10,110,100,101.49659973748253
3,0,0,0,0,0,0,0,0,0,0.08622855202739958
0,0,0,0,25,200,200,44,155,400,89.85612266549995
0,0,0,-29,0,0,0,0,0,0,-4.786655283922613
-3,0,0,0,0,0,0,0,0,0,-0.08622855202739958
-139,-400,-10,-28,-15,-110,-10,-110,-100,-55,-79.33580016050026
3,0,0,0,0,0,0,0,0,0,0.08622855202739958
2,0,0,0,0,0,0,0,0,0,0.05748570135159972
0,0,0,-15,-110,-10,-110,-100,-55,-1,-42.05492907237014
0,0,0,27,15,110,10,110,100,55,42.264226418734935
0,400,0,0,0,0,0,0,0,0,31.498417966402886
0,0,0,0,0,200,44,155,400,1,73.69797110339182
0,-200,0,0,0,0,0,0,0,0,-15.749208983201443
0,-10,-27,-15,-110,-10,-110,-100,-55,-1,-46.65706414374003
0,400,10,27,15,110,10,110,100,55,75.17548683780812
0,0,0,29,0,0,0,0,0,0,4.786655283922613
0,0,-27,0,0,0,0,0,0,0,-3.8146746222098105
0,400,0,0,0,0,0,0,0,0,31.498417966402886
0,0,0,-15,-110,-10,-110,-100,-55,-1,-42.05492907237014
0,0,0,27,15,110,10,110,100,55,42.264226418734935
0,400,0,0,0,0,0,0,0,0,31.498417966402886
-200,0,0,0,0,0,0,0,0,0,-5.748570135159972
0,-10,-27,-15,-110,-10,-110,-100,-55,-1,-46.65706414374003
0,400,10,27,15,110,10,110,100,55,75.17548683780812
0,0,0,-15,-110,-10,-110,-100,-55,-1,-42.05492907237014
0,0,30,0,0,0,0,0,0,0,4.2385273580109
0,0,27,0,0,0,0,0,0,0,3.8146746222098105
0,0,0,0,-27,-25,-200,-44,-155,-400,-69.64019827995538
0,400,0,0,0,0,0,0,0,0,31.498417966402886
0,0,27,40,15,110,10,110,100,55,48.224643064772124
0,0,0,-30,0,0,0,0,0,0,-4.951712362678566
-139,0,0,0,0,0,0,0,0,0,-3.9952562439361805
-2,0,0,0,0,0,0,0,0,0,-0.05748570135159972
-400,-27,-10,-15,-110,-10,-110,-100,-55,-1,-57.09105500809259
2,400,27,10,15,110,10,110,100,55,74.82883436984804
-400,-27,-10,-15,-110,-10,-110,-100,-55,-1,-57.09105500809259
-27,-10,-15,-110,-10,-110,-100,-55,-1,-50,-53.60700622349826
0,0,200,15,110,10,110,100,55,1,70.31177812577616
201,8,150,27,25,200,44,155,400,1,109.18733460779787
